topic,id,text,sentiment
VET,1552895741147975681,@F1 It's good he stops. Go and take care of the bees Seb. He will be more happy in his life. Money isn't everything,2
VET,1552881345751224324,"@F1 One of the greatest , Happy retirement 😊",2
VET,1552874262322728961,@F1 bitti mi hikayemiz?,0
VET,1552870046900391937,@F1 Green Party candidate for election 👍,0
VET,1552860419072659456,@F1 Only Robert Kubica,0
VET,1552859714224115713,@F1 Best teammates ever. And both also great World Champions https://t.co/PNu6KbCpQ3,2
VET,1552850196421177344,@F1 Second best driver in Red Bull history behind sir Max!,1
VET,1552835609097637894,@F1 Who cares... he's finished. Biggest fraud in F1 history...,1
VET,1552820513994842113,"@F1 What next, work on environment conservation?",1
VET,1552820121151881219,@F1 El fin de una era https://t.co/9VCzdCzT5a,0
VET,1552813368012070912,@F1 One day each racer will have to hang it all on a nail.  You need to leave when you realize that you simply will… https://t.co/0IRFTKwOml,1
VET,1552810376529473536,@F1 Let’s give Seb his last P1 finish in the last race. What do you say guys? #SebFinaleP1   @LewisHamilton… https://t.co/8ALSvi0JaY,2
VET,1552804542097797122,@F1 So much hard to decide 0% or 100%.  You did a great job Sebastian🤗  We totally understand you☺️,2
VET,1552803317377540098,"@F1 Good, now @LewisHamilton please follow the suit.",0
VET,1552803007539998720,@F1 congrats to chloe stroll on becoming the next female f1 racer!,0
VET,1552792594131742722,@F1 like to sustainable race ❤️,0
VET,1552787468386275329,"@F1 It was an honour seeing you twice on track. We will miss you, Seb.",2
VET,1552786163978608640,@F1 #Alonso41,0
VET,1552786009309470721,@F1 LeMans and Indy are calling. Get that triple crown.,2
VET,1552785992205082625,@F1 #Alonso41,0
VET,1552783192775479296,@F1 He won two World Championships with slowest cars (2010 &amp; 2012) and two dominant seasons (2011 &amp; 2013) and magni… https://t.co/MhjN6lKnma,2
VET,1552776596616101890,@F1 At least it looks like he has a genuine smile now,2
VET,1552771813205237760,@F1 Some say...he's had a new role with @BBC_TopGear https://t.co/mGoFURetxs,0
VET,1552768452594569216,@F1 😢😢😢😢😢😢😢 wishing you the best of luck,2
VET,1552766943496740869,@F1 He made the right decision given the situation,2
VET,1552766847753371648,"@F1 This is so heartbreaking I swear, this is a damage to the sport",1
VET,1552766556106629121,@F1 My guess is Lemans with BMW hypercar.,0
VET,1552766365475504129,@F1 I wish he could do like Michael or Nando or Kimi &amp; return to F1 like in 2-3 years   Because he said He still lo… https://t.co/3JLPXatTTP,2
VET,1552765767489306624,"@F1 He was a massive cog in to what red bull are today,Championship contenders with excellent pedigree,I've watched… https://t.co/m7yuo9y4k0",2
VET,1552765699801636876,"@F1 In my opinion, he stayed in F1 too long, he’s been underperforming for years now.",1
VET,1552765593404727296,@F1 Notice how he is the best red bull driver ever,2
VET,1552765557921185793,@F1 #DankeSeb ♥️ https://t.co/g0UPWLlOCd,2
VET,1552765223681069060,@F1 Wouldn’t surprise me to see him join a HyperCar factory LeMans effort.,2
VET,1552764863641952256,"@F1 ""I still love racing, but I don't like fighting with Latifi every race"". A big part of his decision was that he… https://t.co/cDMPnodO1X",2
VET,1552764744628482048,@F1 I bet the undeserving daddy’s boy keeps his seat though.,0
VET,1552764638315552769,@F1 Hopefully he will miss it this much that he will try other classes.,2
VET,1552764381661913089,@F1 Thx Seb! https://t.co/BaoSP7UALN,2
VET,1552764206788841476,@F1 Great racer really cool guy. He will be missed.,2
VET,1552764038131716096,@F1 https://t.co/Syl5wZkW27,0
VET,1552763911262330889,@F1 When you become a father and a husband it changes your outlook on life and you see clearly what actually matter… https://t.co/ymLIDUldgg,2
VET,1552763494726045696,@F1 😢,2
VET,1552763486744223744,@F1 racing in nascar with kimi,0
VET,1552763367558987781,"@F1 I know it’s very unlikely but go for the triple crown Seb ! Even better, partner with Kimi for Le Mans !",2
VET,1552763361355599872,@F1 He was my first favorite pilot 😭,2
VET,1552763311896379392,@F1 Announce comeback of Sir Nelson Piquet Sr. as president of FIA,0
VET,1552763248080027653,@F1 https://t.co/NXZinzXwaT,0
VET,1552763241473900552,@F1 My greatest regret being an f1 fan is not appreciating this man more in his prime,2
VET,1552763196422795264,"@F1 Forever a goat of this sport, will always be messed🐐🐐",0
VET,1552763189468733441,@F1 Damn you Ferrari and Aston Martin.,1
VET,1552763172641284096,@F1 Sebastian Vettel Is Finished,1
VET,1552763149958397952,@F1 Another driver better than Perstappen,2
VET,1552763148498788352,@F1 :(,2
