id,text,sentiment
1557380768216879104,@F1 @McLarenF1 Albon to mcl,1
1557380111921397761,"@F1 @McLarenF1 Don't know if anyone noticed the ""photo choice"".   The photo/expression seems deliberate to push a subtle point....?",0
1557380069332586496,@F1 @McLarenF1 This is cyber bullying,0
1557379584705830913,@F1 @McLarenF1 Ricciardo being owned. No wonder McLaren wants Piastri,1
1557379351578087424,@F1 @McLarenF1 Jesus christ its worse than I thought 😭😭,0
1557379107448442881,@F1 @McLarenF1 Stats don't lie,1
1557378596309766146,@F1 @McLarenF1 Turbo washed,1
1557378416881573888,@F1 @McLarenF1 End of the line for Danny ric I’m afraid. 🫣,1
1557377016474714113,@F1 @McLarenF1 Lando's back must hurt to carried the whole team,1
1557375868426543105,@F1 @McLarenF1 @n3hshgha admin settai pandran,0
1557375547759542273,@F1 @McLarenF1 Ric has been on summer break all season. You know things are bad when the F1 account is piling on Ric,0
1557374976877019137,@F1 @McLarenF1 Lando owns Dany Ric,0
1557374306165948418,@F1 @McLarenF1 https://t.co/8Sl1uYYZM6,0
1557374236456534016,@F1 @LceBruce @McLarenF1 Fraudis owns Midcciardo😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹😹,1
1557373899439935489,@F1 @McLarenF1 Damn the difference is larger than my,0
1557373741272899587,@F1 @McLarenF1 WHOOOOO WHOOOOO ASKEDDDD YOUUUUU??????,0
1557373699422142466,"@F1 @McLarenF1 Give me a shot guys 😀 (Pls don’t take it seriously, i love Danny Ric 😍) https://t.co/OrzmyStLVL",2
1557373283175129088,@F1 @McLarenF1 Rick really fell off,1
1557372352584884224,@F1 @McLarenF1 How many wins does Norris have?,0
1557371389681827841,@F1 @McLarenF1 Ricciardo sucks,1
1557370794740748289,@F1 @McLarenF1 https://t.co/PHngVyEpIy,0
1557370506885595136,@F1 @McLarenF1 Oh nonono https://t.co/u8wzRoN3mu,0
1557370429064503297,@F1 @McLarenF1 I don't like being the bearer of bad news but Ricciardo's performance has not been anywhere near ste… https://t.co/CZDIx43VoK,0
