topic,id,text
[None],1552940716543942657,@F1 @alo_oficial https://t.co/2lF0wxJymE
[None],1552940711531761666,@F1 @alo_oficial https://t.co/R0xy4NpJ23
[None],1552940118079844352,@F1 @alo_oficial Que grandes ers magic https://t.co/KiNhICkx1X
[None],1552939877532143616,@F1 @alo_oficial grande nanín
[None],1552939772422791168,@F1 @alo_oficial Feliz día del padre!
[None],1552939622568808450,@F1 @alo_oficial How he’ll celebrate it 😂 https://t.co/X9hgQZ1sda
[None],1552939600305623042,@F1 @alo_oficial Happy Birthday Legend!!!! https://t.co/BQ2vFtfYBi
[None],1552939164068450304,@F1 @alo_oficial What a potential has this rookie! Hope he gets into a great team with a faster car
['vettel'],1552938987995668486,@F1 @alo_oficial So much better than Vettel
[None],1552938922111549440,@F1 @alo_oficial https://t.co/oyHIzZHDJO
[None],1552938738380144641,"@F1 @alo_oficial He's crazy, he's gonna do it. He's gonna put a Renault Megane on the podium."
[None],1552938412608557058,@F1 @alo_oficial Happy birthday man EL plan 🎉✌🏻👍🏻🥳
[None],1552938223541821440,@F1 @alo_oficial EL PLAN
[None],1552938222308667392,@F1 @alo_oficial Happy birthday 👏
[None],1552937514947706881,"@F1 @alo_oficial Muchas felicidades,CAMPEÓN 👍👍👍👍💖💖💖"
[None],1552937487516983297,"@F1 @alo_oficial It's time to let go of 2007, @alo_oficial 😂😂😂"
['alonso'],1552937360333197313,@F1 @alo_oficial The smartest driver of the grid imo Happy Birthday Alonso🥳😇
[None],1552937336488562688,@F1 @alo_oficial https://t.co/CR8m0pRiZq
[None],1552937231719235584,@F1 @alo_oficial Happiest Birthday rockstar @alo__official . Wishing you all the luck!
['hamilton'],1552937152568344576,@F1 @alo_oficial Happy birthday driver better than Hamilton
[None],1552937094896652288,@F1 @alo_oficial Happy birthday!!
['alonso'],1552937041565982720,@F1 @alo_oficial Happy birthday Fernando… 3 cheers from the podium I hope🤞🤞
[None],1552936744886083585,@F1 @alo_oficial El Nano Giga Chad
['alonso'],1552936698660659200,"@F1 @alo_oficial Pls it’s not yet till for you to retire Fernando, #F1 needs Alonso."
[None],1552936494330945536,@F1 @alo_oficial Happy 64th bday x
[None],1552936248104337409,@F1 @alo_oficial https://t.co/TPmv0cQa4t
[None],1552936201882963968,@F1 @alo_oficial Happy Birthday fella 🥳 when I got my PS2 I bought F1 2005 🤩 and I was unbeatable as you in full ra… https://t.co/EYEPuouiD7
[None],1552935913663172610,"@F1 @alo_oficial Feliz cumpleaños máquinaa, hoy Hungría victoriia"
[None],1552935870365310981,@F1 @alo_oficial Happy 60th Birthday!!!
[None],1552935829722611712,@F1 @alo_oficial Always nice to share my birthday with you legend 🇪🇸🥳
[None],1552935762978562048,@F1 @alo_oficial My birthday Buddy!💪🏼💪🏼
[None],1552934575860596736,@F1 @alo_oficial Happy Birthday to the best driver 🎉
[None],1552934550120153088,@F1 @alo_oficial Happy birtsday
[None],1552934162926948352,@F1 @alo_oficial Mini heart attack seeing posters on F1 accounts these days
[None],1552934146011729920,@F1 @alo_oficial HBD to the toughest driver🤣
[None],1552934040780451840,@F1 @alo_oficial Está hecho un chaval
[None],1552933949349003264,@F1 @alo_oficial Felicidades al campeón de campeones @alo_oficial 💙💛🇪🇦 https://t.co/zmR7SVRdEU
[None],1552933518589792256,"@F1 @alo_oficial QUE GRANDE ERES, MAGIC!!!"
['alonso'],1552933517914525697,@F1 @alo_oficial Happy birthday Nando 😂 👊🏾
[None],1552933460851019780,@F1 @alo_oficial Happy birthday!  Don't you dare to leave us aswell!
[None],1552933386519453699,@F1 @alo_oficial Is this the big 100?
[None],1552933214641160192,@F1 @alo_oficial Happy birthday 🎂
['alonso'],1552933065717997569,@F1 @alo_oficial Feliz cumpleaños Fernando!
[None],1552932956221612035,@F1 @alo_oficial The G.O.A.T 🐐👑
[None],1552932904262590464,@F1 @alo_oficial Happiest of Birthdays @alo_oficial 🎉💙
['alonso'],1552932683621212161,"@F1 @alo_oficial Happy Birthday Fernando, hope you get your contract extension soon"
[None],1552932674796396546,@F1 @alo_oficial Happy Birthday legend!
['alonso'],1552932569775226885,@F1 @alo_oficial Felicidades Fernando!! Gracias por todo lo que nos estás dando. Mucha suerte para este fin de sema… https://t.co/lAf0aFby66
[None],1552932544382910464,"@F1 @alo_oficial Happy birthday, @alo_oficial! 🥳"
[None],1552932381182533635,@F1 @alo_oficial Happy Birthday to the BOSS 🏎💨💙💛❤️
[None],1552932290782789638,@F1 @alo_oficial The most complete driver that I've ever seen. THE BEST F1 DRIVER!! https://t.co/X2G3R5w3Wq
[None],1552932279265239042,@F1 @alo_oficial Feliz cumpleaños padre https://t.co/k7oAlgti5X
['alonso'],1552932268380811264,@F1 @alo_oficial Fernando I’m-old-o
[None],1552932165779968000,"@F1 @alo_oficial Happy Birthday, padre!"
['alonso'],1552932162697105410,"@F1 @alo_oficial ¡feliz cumpleaños, alonso!"
['alonso'],1552932075736633344,@F1 @alo_oficial 🥳🥳🥳🥳 happy birthday fernando have a great day mate
['alonso'],1552931815404589056,@F1 @alo_oficial WAIT ME AND NANDO SHARE A BIRTHDAY BAHAHAHA
[None],1552931810107334657,@F1 @alo_oficial ¡Su forma de conducir nunca ha dejado de fascinarme! Esperamos que siga participando en muchas más… https://t.co/MdaqHKmLyt
[None],1552931428320641025,@F1 @alo_oficial Padre
[None],1552931168894722050,"@F1 @alo_oficial The number of F1 drivers out of 7.4 billion people on the planet is very very TINY.  Privileged, h… https://t.co/inZfZEZvRD"
['alonso'],1552931028410531846,@F1 @alo_oficial Happy Birthday Alonso have a great day
['alonso'],1552930750655348736,@F1 @alo_oficial Happy birthday Fernando 🎂🎉
[None],1552930724336078848,@F1 @alo_oficial Happy birthday to the best driver f1 has seen https://t.co/5EYW2m2HPs
[None],1552930086541611009,@F1 @alo_oficial The boss
[None],1552929902667636736,@F1 @alo_oficial Goat
"['alonso', 'schumacher']",1552929629211709447,@F1 @alo_oficial Alonso is proving the excuse that Schumacher was too old on his return false. Micheal just got to… https://t.co/sA1xHSbKgj
['alonso'],1552929507862011904,@F1 @alo_oficial happy birthday fernando https://t.co/Te7oReIOL0
['alonso'],1552929271437578243,"@F1 @alo_oficial Happy birthday, Fernando!🥳🍾🙌 Good luck this week."
[None],1552929059499257856,@F1 @alo_oficial ❤❤❤🎂🎂🎂🍷🍷🍷🎂🎂🎂♥️♥️♥️
['alonso'],1552928958685106177,@F1 @alo_oficial Alonso is the GOAT. The best driver on the grid for well over a decade.  https://t.co/sBRrWKqhKc
['hamilton'],1552928934307708928,@F1 @alo_oficial Still better driver than hamilton
[None],1552928860177666048,@F1 @alo_oficial Happy Birthday! @alo_oficial
[None],1552928834135044096,@F1 @alo_oficial GOAT
[None],1552928805794217985,"@F1 @alo_oficial Happy Birthday, Legend! 💙https://t.co/zrEeFSKTg2"
[None],1552928780083159040,@F1 @alo_oficial Huele a finde histórico en el Hungaroring🤩🤩
['alonso'],1552928754481172480,@F1 @alo_oficial Grande Alonso. 👏👏👏
[None],1552928701230325763,@F1 @alo_oficial goat
[None],1552928643340541952,@F1 @alo_oficial Birthday Twin!
